                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1444,                 18.023,                 3.4433,                  5e-05,                 0.0001,                0.00036,                  5e-05,                 3.2785,                 25.104,                 2.0397,             0.00047184,             0.00047184,             0.00047184
                      2,                  3.633,                 2.2192,                 1.4585,                0.79731,                0.10126,                0.08307,                0.02148,                 3.2706,                 2.0341,                 1.3245,             0.00093879,             0.00093879,             0.00093879
                      3,                 3.0811,                 1.7424,                 1.1996,                0.80414,                0.11603,                0.09363,                0.02344,                 3.2522,                 2.2224,                 1.3341,              0.0013963,              0.0013963,              0.0013963
                      4,                 2.8286,                 1.5739,                 1.1297,                0.87145,                0.19139,                0.20798,                0.06882,                 2.4633,                 1.6721,                 1.1065,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.6492,                  1.504,                 1.0867,                0.55937,                0.22372,                 0.2466,                0.08544,                 2.3215,                 1.4137,                 1.0678,              0.0013866,              0.0013866,              0.0013866
                      6,                 2.4455,                 1.3978,                 1.0374,                0.24267,                 0.3104,                0.26842,                0.09743,                 2.2384,                 1.2343,                 1.0485,              0.0013724,              0.0013724,              0.0013724
                      7,                 2.3272,                 1.2769,                 1.0125,                0.90277,                 0.2134,                0.27282,                0.09135,                 2.4283,                 1.5959,                 1.0486,              0.0013583,              0.0013583,              0.0013583
                      8,                 2.2544,                 1.2237,                0.99929,                0.93156,                0.25222,                0.34893,                0.14512,                 1.9712,                 1.2413,                0.97623,              0.0013441,              0.0013441,              0.0013441
                      9,                 2.2035,                 1.1682,                0.99673,                0.64661,                0.34597,                0.36044,                0.14576,                 2.0335,                 1.1438,                0.98914,                0.00133,                0.00133,                0.00133
                     10,                 2.2129,                 1.1858,                0.98977,                0.32237,                0.44338,                0.40126,                0.17237,                  1.945,                 1.3021,                0.98574,              0.0013158,              0.0013158,              0.0013158
                     11,                 2.1058,                 1.1278,                0.98724,                0.39772,                0.47676,                0.38804,                0.17785,                 1.8395,                0.94706,                0.94918,              0.0013017,              0.0013017,              0.0013017
                     12,                 2.0152,                 1.0623,                0.95603,                0.48524,                0.54164,                0.46061,                0.20576,                 1.9875,                  1.017,                0.97417,              0.0012875,              0.0012875,              0.0012875
                     13,                 2.0316,                 1.0569,                0.95339,                0.55042,                 0.5047,                0.47271,                 0.2118,                 1.9101,                0.98582,                0.94936,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.9762,                 1.0036,                0.94034,                0.58802,                0.58959,                0.53607,                0.25977,                 1.7913,                  0.925,                0.93201,              0.0012592,              0.0012592,              0.0012592
                     15,                  1.921,                0.96359,                0.94965,                0.52989,                0.59639,                0.51325,                0.23851,                 1.8716,                0.92307,                0.93896,              0.0012451,              0.0012451,              0.0012451
                     16,                 2.0292,                 1.0029,                0.94608,                0.58755,                0.56102,                 0.5054,                0.21209,                  1.893,                0.93745,                 0.9354,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.8911,                0.92166,                0.92984,                0.58538,                0.56307,                0.50694,                 0.2554,                 1.7532,                0.89174,                0.91905,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.8431,                0.91405,                0.93426,                0.53528,                0.63151,                0.58416,                0.29386,                 1.7571,                0.87074,                0.92174,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.8703,                0.90929,                0.91646,                0.63194,                0.65112,                0.61782,                0.32255,                 1.7105,                0.79776,                0.91003,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.8473,                0.89208,                0.92063,                0.54544,                0.58924,                0.53499,                0.26261,                 1.7652,                 1.0216,                0.91572,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.7942,                0.88042,                 0.9064,                0.63518,                0.60569,                0.59309,                0.30073,                 1.7261,                0.86061,                0.90479,              0.0011602,              0.0011602,              0.0011602
                     22,                  1.791,                0.86252,                0.91727,                0.63941,                0.64014,                 0.6084,                0.30202,                  1.725,                0.82492,                0.91288,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.8053,                0.85656,                0.91467,                0.61558,                0.57216,                0.57078,                0.30006,                 1.6671,                  0.832,                0.90353,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.7624,                0.82544,                0.90962,                0.65788,                0.67664,                0.67476,                0.37352,                  1.615,                0.73256,                0.89932,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.7746,                0.84413,                0.92121,                 0.6909,                0.59767,                0.67738,                  0.359,                 1.6938,                0.76648,                0.90172,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.7313,                0.82453,                0.90527,                0.68344,                0.65143,                0.68175,                0.37429,                 1.6396,                 0.7562,                0.90174,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.7304,                0.81054,                0.90594,                0.63006,                0.67708,                0.64867,                 0.3478,                 1.6669,                0.78876,                0.89731,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.7328,                0.80882,                0.91094,                0.70322,                0.67854,                0.71232,                0.39895,                 1.6018,                0.73508,                0.88878,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.7171,                0.80117,                0.90753,                0.59958,                0.67908,                0.69574,                0.38954,                 1.5628,                0.76484,                0.88915,               0.001047,               0.001047,               0.001047
                     30,                 1.7161,                0.79296,                0.90835,                0.68044,                0.68599,                0.70429,                0.40035,                 1.5697,                0.73051,                0.88728,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.6952,                0.78424,                0.89864,                0.63324,                0.69282,                0.68024,                0.38236,                 1.5649,                0.74024,                0.88496,              0.0010187,              0.0010187,              0.0010187
                     32,                  1.678,                0.77499,                0.89899,                 0.6653,                0.69505,                0.73496,                0.42202,                 1.5537,                 0.7023,                0.88274,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.6358,                0.75938,                0.89428,                0.68031,                0.65823,                0.73281,                0.41639,                 1.5374,                0.68987,                 0.8834,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.6573,                0.75809,                0.89581,                0.73415,                0.62301,                0.71019,                0.40874,                 1.5669,                0.81359,                 0.8926,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.6841,                0.77925,                0.89804,                0.67933,                0.64805,                0.71966,                0.40967,                 1.5425,                0.71457,                0.88335,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.6667,                0.76358,                0.90056,                0.75135,                0.73184,                0.77188,                0.45124,                  1.531,                0.70926,                0.87803,               0.000948,               0.000948,               0.000948
                     37,                 1.6318,                0.73781,                0.88339,                0.74178,                0.64697,                 0.7414,                0.40608,                 1.5909,                 0.7361,                0.88237,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.6137,                0.73755,                0.88309,                0.70552,                0.71572,                0.75596,                0.43821,                 1.5409,                 0.6904,                0.87514,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.6107,                0.72167,                 0.8871,                0.77993,                0.69592,                0.77562,                0.45686,                 1.5006,                0.66653,                0.87439,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.6186,                 0.7177,                0.88827,                0.74617,                0.64279,                0.74967,                 0.4222,                 1.5576,                0.69038,                0.87513,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.5977,                0.72633,                0.88167,                0.74245,                0.65499,                0.70871,                 0.4093,                 1.4948,                0.70892,                0.86772,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.5985,                0.72071,                0.88241,                0.74065,                0.68311,                0.76772,                0.45518,                  1.509,                0.67177,                0.87068,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.5732,                0.70995,                0.88644,                0.74994,                0.71356,                0.77312,                0.45547,                  1.499,                0.66823,                0.86998,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.5967,                 0.7111,                0.87705,                0.76917,                 0.6901,                 0.7761,                0.45537,                 1.5146,                0.70604,                0.86877,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.5744,                0.70954,                0.88365,                 0.7461,                0.69954,                0.75635,                0.44271,                 1.5152,                0.67449,                0.87051,             0.00082067,             0.00082067,             0.00082067
