                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0249,                 8.2134,                 3.2495,                0.01389,                0.00015,                0.00699,                0.00233,                 3.2733,                 2.2905,                 2.0012,             0.00047184,             0.00047184,             0.00047184
                      2,                 3.5491,                 1.9366,                 1.3784,                0.80412,                0.10215,                0.07666,                0.01751,                 3.4211,                 1.6419,                 1.3953,             0.00093879,             0.00093879,             0.00093879
                      3,                 3.1177,                 1.7027,                  1.187,                0.84912,                0.15012,                0.13307,                0.03328,                 3.1108,                   1.72,                 1.2764,              0.0013963,              0.0013963,              0.0013963
                      4,                 2.8453,                 1.5242,                 1.1279,                0.87004,                0.18228,                 0.1972,                0.05852,                 2.6411,                  1.557,                 1.1309,              0.0013866,              0.0013866,              0.0013866
                      5,                   2.65,                 1.4349,                 1.0814,                0.88077,                0.20455,                0.23344,                0.07812,                 2.4977,                 1.6022,                 1.1092,              0.0013866,              0.0013866,              0.0013866
                      6,                  2.466,                 1.3368,                 1.0376,                0.53341,                0.25505,                0.26137,                0.09607,                  2.306,                 1.2195,                 1.0662,              0.0013724,              0.0013724,              0.0013724
                      7,                 2.3866,                 1.2665,                 1.0204,                0.88851,                0.20827,                0.26114,                0.10016,                   2.22,                 1.5094,                 1.0386,              0.0013583,              0.0013583,              0.0013583
                      8,                 2.2922,                 1.2078,                 1.0068,                0.65942,                0.32051,                0.37952,                0.15707,                 2.0556,                 1.0604,                  1.005,              0.0013441,              0.0013441,              0.0013441
                      9,                 2.2588,                 1.1829,                 1.0033,                 0.3927,                 0.3983,                0.32959,                0.11881,                 2.3499,                  1.154,                 1.0121,                0.00133,                0.00133,                0.00133
                     10,                 2.2042,                 1.1466,                0.98688,                0.40371,                0.47666,                0.39325,                 0.1607,                  2.062,                 1.0865,                 0.9741,              0.0013158,              0.0013158,              0.0013158
                     11,                 2.1042,                 1.0993,                 0.9892,                0.57034,                0.50666,                0.47271,                0.20669,                 1.9343,                 0.9853,                0.96262,              0.0013017,              0.0013017,              0.0013017
                     12,                 2.0277,                 1.0486,                0.95561,                0.52536,                0.58531,                0.53473,                 0.2507,                 1.8371,                0.92506,                0.94044,              0.0012875,              0.0012875,              0.0012875
                     13,                 2.0431,                 1.0294,                0.95375,                 0.5514,                0.50747,                0.49761,                  0.224,                 1.8932,                0.95337,                0.94176,              0.0012734,              0.0012734,              0.0012734
                     14,                  2.001,                0.99644,                 0.9403,                0.51641,                0.55501,                0.47918,                0.22297,                 1.8533,                0.93516,                0.93338,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.9455,                0.97651,                0.95215,                 0.5719,                0.59816,                0.53734,                0.27033,                 1.7805,                0.89888,                0.92522,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.9555,                0.97035,                0.93667,                0.57046,                0.63457,                0.58853,                0.29555,                 1.7367,                0.84784,                0.91886,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.8754,                0.91054,                0.92818,                0.59384,                0.59746,                0.56406,                0.29579,                 1.7464,                0.84181,                0.92177,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.8339,                0.91101,                0.93076,                0.62707,                0.60211,                0.59482,                0.31589,                 1.6714,                0.83419,                0.91236,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.8502,                0.89817,                0.91684,                0.59417,                 0.6561,                 0.5879,                0.31223,                 1.6853,                0.82634,                0.91092,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.8353,                0.88375,                0.91863,                0.60738,                0.63803,                0.59644,                0.31426,                 1.6805,                0.87225,                0.90593,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.7983,                0.86845,                0.90738,                0.62046,                0.64588,                0.64999,                0.35281,                 1.6462,                0.82497,                0.90493,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.7867,                0.85004,                0.91516,                0.64146,                0.66715,                0.64874,                0.34963,                 1.6468,                0.77843,                0.90293,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.7996,                0.84946,                0.91447,                 0.6773,                0.67512,                0.67994,                0.36748,                 1.6486,                0.76397,                0.90369,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.7857,                0.83934,                0.91387,                0.62884,                0.64758,                0.64602,                0.36477,                   1.59,                0.76194,                0.89608,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.7951,                0.85839,                0.92506,                0.67084,                0.63667,                0.71063,                0.38921,                 1.6652,                0.76864,                0.90125,              0.0011036,              0.0011036,              0.0011036
                     26,                  1.766,                0.82622,                0.90901,                0.76413,                0.64424,                0.70747,                0.38849,                 1.6769,                0.74543,                0.90501,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.7285,                0.79546,                0.90618,                0.69099,                0.64031,                0.71338,                0.40235,                 1.6677,                0.75124,                0.90237,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.7441,                0.80608,                0.91491,                0.67513,                0.65501,                0.70476,                0.39498,                 1.5916,                0.73921,                0.89371,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.7029,                0.78115,                0.90565,                0.64428,                0.70537,                0.72095,                0.41091,                 1.5781,                0.72384,                0.88569,               0.001047,               0.001047,               0.001047
                     30,                 1.6929,                0.77458,                0.90305,                 0.7014,                0.70906,                0.72565,                0.39687,                 1.6038,                0.73434,                0.88729,              0.0010329,              0.0010329,              0.0010329
                     31,                  1.661,                0.76923,                 0.8964,                0.73173,                 0.7041,                0.73741,                0.40438,                 1.5742,                  0.705,                0.88524,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.6876,                0.77117,                0.90082,                0.66417,                0.71649,                0.74358,                0.42096,                 1.6172,                0.72815,                0.88516,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.6414,                0.75425,                 0.8965,                0.67337,                0.72193,                0.74385,                0.42129,                 1.5625,                 0.7202,                0.88916,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.6476,                0.75386,                 0.8932,                0.76841,                0.68961,                0.77339,                 0.4495,                 1.5412,                0.69327,                0.88178,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.6609,                0.75644,                0.89496,                0.67991,                0.66685,                0.71541,                0.41016,                 1.5512,                0.71867,                0.88248,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.6557,                0.76094,                0.89943,                0.78615,                0.66631,                0.77471,                0.43355,                 1.5698,                0.72352,                0.88066,               0.000948,               0.000948,               0.000948
                     37,                 1.6325,                0.73526,                0.88318,                0.79644,                0.58912,                0.73029,                0.42457,                 1.5187,                0.73084,                0.87433,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.6371,                0.74091,                0.88565,                0.72313,                0.73106,                 0.7922,                0.46387,                 1.5167,                0.66586,                0.87374,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.5964,                0.71565,                0.88549,                0.75465,                0.73896,                0.78547,                 0.4611,                 1.5391,                0.67747,                0.87672,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.6097,                0.71165,                0.88653,                0.69855,                  0.782,                 0.7866,                 0.4548,                 1.5284,                0.68359,                0.87386,             0.00089141,             0.00089141,             0.00089141
                     41,                  1.607,                 0.7225,                0.88281,                0.70757,                0.73798,                0.75827,                0.43534,                 1.5198,                0.71034,                 0.8716,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.5844,                0.70875,                0.88129,                0.80724,                0.70596,                0.79318,                0.46434,                  1.499,                0.67521,                0.87037,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.6049,                0.70677,                0.88634,                0.77797,                0.71455,                0.78964,                0.46903,                 1.4745,                0.67282,                0.87009,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.5938,                0.70527,                 0.8768,                0.79628,                0.71799,                 0.8108,                0.48341,                 1.4791,                0.65593,                0.87334,             0.00083482,             0.00083482,             0.00083482
                     45,                  1.568,                0.70464,                 0.8842,                0.81951,                 0.6871,                0.78702,                0.47789,                 1.4678,                0.65753,                0.86528,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.5744,                0.69663,                0.87389,                0.78545,                0.73256,                0.80345,                0.46657,                 1.4755,                0.66158,                0.86694,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.5537,                0.69682,                0.88375,                0.76919,                0.73879,                0.79931,                0.47619,                 1.4973,                0.66082,                0.87087,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.5714,                0.69357,                 0.8715,                0.82324,                 0.7389,                0.81473,                 0.4834,                 1.4748,                0.66023,                0.86587,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.5516,                0.69336,                0.87888,                0.80883,                0.72594,                0.80866,                0.49779,                 1.4543,                0.64526,                0.86514,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.5514,                0.69409,                0.88009,                0.82131,                 0.7447,                0.81384,                0.49329,                 1.4642,                0.64045,                0.86319,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.5283,                 0.6728,                0.87271,                0.82396,                0.73347,                0.81763,                0.49436,                 1.4404,                 0.6335,                0.86054,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.5306,                0.67529,                 0.8743,                0.75501,                0.75871,                0.81209,                0.48675,                 1.4672,                0.64215,                  0.864,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.5132,                 0.6665,                0.87795,                  0.756,                0.71352,                 0.7771,                0.45991,                  1.483,                0.66246,                0.87193,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.5295,                0.66979,                0.87945,                0.79595,                0.72626,                 0.8176,                0.48206,                   1.48,                0.64661,                0.86519,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.5394,                0.67281,                0.87395,                0.77745,                0.74573,                0.81255,                0.49809,                  1.448,                0.63603,                0.86016,              0.0006792,              0.0006792,              0.0006792
                     56,                  1.496,                0.64793,                0.87075,                0.83322,                 0.7344,                0.83292,                0.51441,                  1.431,                0.62794,                0.86062,             0.00066506,             0.00066506,             0.00066506
                     57,                  1.493,                0.65719,                0.86968,                0.80519,                0.75487,                0.82722,                0.50473,                 1.4315,                0.62611,                0.85894,             0.00065091,             0.00065091,             0.00065091
                     58,                  1.496,                0.65611,                0.87479,                0.78544,                0.75414,                0.82271,                0.49476,                 1.4445,                0.63279,                0.86031,             0.00063676,             0.00063676,             0.00063676
                     59,                  1.488,                0.64928,                0.86642,                0.78042,                0.78886,                0.83329,                0.51516,                 1.4253,                0.62074,                 0.8579,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.5031,                0.65807,                0.86884,                0.84565,                0.72528,                0.82974,                0.51103,                  1.445,                0.62703,                0.85846,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.4783,                0.64436,                0.86895,                0.78474,                0.75653,                0.82897,                0.51238,                 1.4323,                0.62085,                0.86683,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.4922,                0.64591,                0.87222,                0.81245,                0.72065,                 0.8196,                0.50356,                 1.4414,                0.63426,                0.86064,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.4542,                0.63381,                0.86437,                0.80092,                0.77588,                0.83898,                0.51743,                 1.4299,                0.61843,                0.85542,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.4623,                0.64363,                0.86228,                0.82276,                 0.7584,                0.85313,                0.52747,                 1.4151,                0.60826,                0.86041,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.4964,                0.65542,                0.86751,                0.83218,                0.77392,                0.84399,                 0.5163,                  1.429,                0.61425,                 0.8598,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.4596,                0.63081,                 0.8647,                0.81252,                0.77853,                0.84469,                0.52297,                 1.4361,                0.61444,                0.85812,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.4453,                0.62637,                0.86355,                0.79295,                0.78042,                  0.839,                0.51928,                 1.4037,                0.61227,                 0.8527,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.4754,                0.63196,                0.85966,                0.81683,                0.79766,                0.85428,                0.53005,                 1.3893,                0.60724,                0.85315,             0.00049529,             0.00049529,             0.00049529
